customer_id,tenure,monthly_charges,total_charges
0013-SMEOE,71,109.7,7904.25
0014-BMAQU,63,84.65,5377.80
0016-QLJIS,65,90.45,5957.90
0017-DINOC,54,45.2,2460.55
0017-IUDMW,72,116.8,8456.75
0019-EFAEP,72,101.3,7261.25
0019-GFNTW,56,45.05,2560.10
0020-INWCK,71,95.75,6849.40
0040-HALCW,54,20.4,1090.60
0042-RLHYP,69,19.7,1396.90
0056-EPFBG,20,39.4,825.40
0057-QBUQH,43,25.1,1070.15
0064-SUDOG,12,20.3,224.50
0071-NDAFP,25,25.5,630.60
0078-XZMHT,72,85.15,6316.20
0106-UGRDO,69,116,8182.85
0114-IGABW,71,58.25,4145.90
0123-CRBRT,61,88.1,5526.75
0136-IFMYD,69,109.95,7634.25
0164-APGRB,72,114.9,8496.70
0164-XAIRP,24,19.55,470.20
0174-QRVVY,71,25.35,1847.55
0181-RITDD,62,108.15,6825.65
0191-EQUUH,25,35.05,844.45
0201-MIBOL,66,102.4,6471.85
0206-OYVOC,46,19.25,864.20
0214-JHPFW,70,57.8,4039.30
0224-NIJLP,8,20.15,165.50
0229-LFJAF,72,69.65,4908.25
0230-WEQUW,66,56.6,3789.20
0238-WHBIQ,72,89.7,6339.30
0244-LGNFY,72,92.65,6733.00
0248-PGHBZ,67,92.45,6140.85
0253-ZTEOB,48,79.65,3870.30
0254-FNMCI,72,109.9,7624.20
0263-FJTQO,50,70.5,3486.65
0264-CNITK,71,20.1,1389.60
0266-CLZKZ,67,105.65,6717.90
0266-GMEAO,72,114.3,8058.55
0270-THENM,72,69.85,5102.35
0277-ORXQS,66,50.55,3364.55
0281-CNTZX,63,19.95,1234.80
0298-XACET,52,50.2,2554.00
0301-FIDRB,72,63.8,4684.30
0301-KOBTQ,32,20.05,614.45
0318-ZOPWS,49,20.15,973.35
0320-DWVTU,53,99.5,5424.25
0323-XWWTN,3,26.4,121.25
0336-KXKFK,72,61.2,4390.25
0336-PIKEI,72,74.4,5360.75
0343-QLUZP,60,39.6,2424.50
0345-XMMUG,46,108.9,4854.30
0354-VXMJC,23,19.6,426.65
0356-OBMAC,56,99.9,5706.30
0361-HJRDX,68,64.35,4539.60
0362-RAOQO,40,19.65,830.25
0363-SVHYR,71,86.85,6263.80
0374-FIUCA,65,20.4,1414.45
0378-CJKPV,72,112.1,7965.95
0379-DJQHR,67,81.35,5398.60
0383-CLDDA,69,85.35,5897.40
0386-CWRGM,46,19.4,967.85
0392-BZIUW,72,105,7589.80
0394-YONDK,70,25.15,1790.15
0397-ZXWQF,67,20.5,1430.95
0401-WDBXM,72,105.55,7542.25
0402-OAMEN,72,24.45,1709.10
0404-AHASP,72,19.7,1421.90
0412-UCCNP,55,59.2,3175.85
0420-TXVSG,66,66.1,4428.45
0436-TWFFZ,67,85.25,5714.20
0440-EKDCF,62,60.15,3753.20
0442-TDYUO,48,20.05,1036.00
0454-OKRCT,33,80.6,2651.10
0455-ENTCR,66,85.25,5538.35
0458-HEUZG,13,35.4,450.40
0459-SPZHJ,63,83.5,5435.00
0463-TXOAK,52,25.6,1334.50
0464-WJTKO,72,20.1,1460.85
0479-HMSWA,26,105.45,2715.30
0480-KYJVA,72,24.25,1784.50
0485-ZBSLN,65,24.75,1715.10
0486-LGCCH,11,19.65,225.75
0487-CRLZF,49,74.45,3721.90
0505-SPOOW,70,19.8,1397.65
0506-YLVKJ,46,20.2,917.45
0508-SQWPL,57,20.1,1087.70
0513-RBGPE,37,62.8,2278.75
0526-SXDJP,72,42.1,2962.00
0530-IJVDB,70,114.6,7882.50
0531-XBKMM,66,65.7,4378.90
0536-ACXIP,72,109.55,8165.10
0536-ESJEP,54,74.55,4191.45
0556-FJEGU,58,70.1,4048.95
0559-CKHUS,29,19.55,521.80
0562-FGDCR,72,74.55,5430.65
0562-HKHML,71,23.9,1626.40
0562-KBDVM,70,44.6,3058.15
0567-XRHCU,69,43.95,2960.10
0572-ZJKLT,46,99.65,4630.20
0582-AVCLN,38,20.3,743.05
0602-DDUML,57,69.75,3894.40
0603-TPMIB,59,25.45,1534.05
0604-THJFP,59,75.95,4542.35
0607-DAAHE,53,19.75,1052.35
0608-JDVEC,50,19.8,1013.20
0613-WUXUM,70,19.2,1401.40
0617-AQNWT,64,47.85,3147.50
0619-OLYUR,72,111.9,8071.05
0621-CXBKL,53,18.7,1005.70
0621-JFHOL,10,29.6,299.05
0625-AFOHS,29,20.2,558.80
0626-QXNGV,72,24.15,1776.45
0640-YJTPY,72,21,1493.75
0665-XHDJU,72,99.4,7285.70
0674-GCDXG,63,71.9,4479.20
0675-NCDYU,72,116.4,8543.25
0678-RLHVP,53,105.55,5682.25
0704-VCUMB,61,20.25,1278.80
0707-HOVVN,70,75.5,5212.65
0716-BQNDX,57,93.75,5625.55
0727-BNRLG,69,97.65,6743.55
0730-BGQGF,71,90.3,6287.30
0732-OCQOC,52,25.05,1270.25
0739-UUAJR,72,53.8,3952.45
0742-LAFQK,72,99.15,7422.10
0744-BIKKF,72,86.65,6224.80
0754-EEBDC,4,19.9,76.65
0757-WCUUZ,54,63.35,3409.10
0769-MURVM,72,65.7,4575.35
0771-CHWSK,66,74.6,4798.40
0774-RMNUW,71,59.7,4122.65
0780-XNZFN,57,20.65,1125.60
0784-ZQJZX,72,19.9,1529.65
0794-YVSGE,72,20.3,1401.15
0795-LAFGP,71,90.4,6668.05
0795-XCCTE,72,25.4,1809.35
0813-TAXXS,55,77.8,4323.35
0815-MFZGM,42,99,4135.00
0825-CPPQH,71,19.1,1372.45
0827-ITJPH,36,18.55,689.00
0831-JNISG,71,19.8,1396.25
0835-JKADZ,71,111.25,7984.15
0839-JTCUD,66,89.9,5958.85
0839-QNXME,30,19.4,578.50
0847-HGRML,62,20,1250.10
0848-SOMKO,70,48.4,3442.80
0853-TWRVK,72,105.6,7581.50
0854-UYHZD,13,19.55,265.30
0862-PRCBS,68,103.75,7039.45
0868-VJRDR,64,104.05,6605.55
0885-HMGPY,62,69.4,4237.50
0895-UADGO,8,44.55,343.45
0902-XKXPN,69,20.2,1376.50
0906-QVPMS,72,115.15,8349.45
0907-HQNTS,70,113,7987.60
0909-SELIE,61,80.8,4860.85
0916-KNFAJ,61,69.9,4226.70
0917-EZOLA,72,104.15,7689.95
0932-YIXYU,47,20.25,1029.80
0936-NQLJU,41,20.65,875.55
0942-KOWSM,30,80.8,2369.30
0945-TSONX,47,85.3,4107.25
0960-HUWBM,65,104.1,6700.05
0962-CQPWQ,62,20.3,1296.15
0971-QIFJK,69,24.25,1641.80
0973-KYVNF,72,70.65,5011.15
0979-MOZQI,62,39,2337.45
0988-AADSA,72,80.85,5824.75
